,ds,mech,seed,method,metric,value
130,parkinsons,MAR,1130604997,OT_PMM,RMSE,0.6510093183866383
131,parkinsons,MAR,1130604997,OT_PMM,MAE,0.3691348582873996
132,parkinsons,MAR,1171300112,PMM,RMSE,0.7822650569614285
133,parkinsons,MAR,1171300112,PMM,MAE,0.45863259290272723
134,parkinsons,MAR,1171300112,OT_PMM,RMSE,0.7288436490430221
135,parkinsons,MAR,1171300112,OT_PMM,MAE,0.4159137408455931
136,parkinsons,MAR,1382689815,PMM,RMSE,0.7717966578721489
137,parkinsons,MAR,1382689815,PMM,MAE,0.4855024720247483
138,parkinsons,MAR,1382689815,OT_PMM,RMSE,0.779627292836361
139,parkinsons,MAR,1382689815,OT_PMM,MAE,0.47362134386309496
140,parkinsons,MAR,1405681631,PMM,RMSE,0.7832850228894893
141,parkinsons,MAR,1405681631,PMM,MAE,0.43498936807860056
142,parkinsons,MAR,1405681631,OT_PMM,RMSE,0.6838868063635883
143,parkinsons,MAR,1405681631,OT_PMM,MAE,0.38490654933368457
144,parkinsons,MAR,1497586438,PMM,RMSE,0.7819629612454678
145,parkinsons,MAR,1497586438,PMM,MAE,0.43817587271115216
146,parkinsons,MAR,1497586438,OT_PMM,RMSE,0.7157724104440824
147,parkinsons,MAR,1497586438,OT_PMM,MAE,0.4042457461459378
148,parkinsons,MAR,1540770719,PMM,RMSE,0.6418365263718376
149,parkinsons,MAR,1540770719,PMM,MAE,0.3358397054640613
150,parkinsons,MAR,1540770719,OT_PMM,RMSE,0.6286678010551521
151,parkinsons,MAR,1540770719,OT_PMM,MAE,0.3216788427145605
152,parkinsons,MAR,1580016183,PMM,RMSE,0.7603416445678584
153,parkinsons,MAR,1580016183,PMM,MAE,0.40792948366189996
154,parkinsons,MAR,1580016183,OT_PMM,RMSE,0.6971085493179464
155,parkinsons,MAR,1580016183,OT_PMM,MAE,0.369461573198692
156,parkinsons,MAR,1634535062,PMM,RMSE,0.7712790686226089
157,parkinsons,MAR,1634535062,PMM,MAE,0.41383818959316426
158,parkinsons,MAR,1634535062,OT_PMM,RMSE,0.7453698670897668
159,parkinsons,MAR,1634535062,OT_PMM,MAE,0.3875299334618769
160,parkinsons,MAR,1662057957,PMM,RMSE,0.7038822532334575
161,parkinsons,MAR,1662057957,PMM,MAE,0.3773942470564751
162,parkinsons,MAR,1662057957,OT_PMM,RMSE,0.6734280385655281
163,parkinsons,MAR,1662057957,OT_PMM,MAE,0.3472123791804678
164,parkinsons,MAR,1678403330,PMM,RMSE,0.7043839324022819
165,parkinsons,MAR,1678403330,PMM,MAE,0.41801099069601505
166,parkinsons,MAR,1678403330,OT_PMM,RMSE,0.633479252471092
167,parkinsons,MAR,1678403330,OT_PMM,MAE,0.35577132396094824
168,parkinsons,MAR,1688060240,PMM,RMSE,0.7111072312137897
169,parkinsons,MAR,1688060240,PMM,MAE,0.3974455982341956
170,parkinsons,MAR,1688060240,OT_PMM,RMSE,0.7163146945050314
171,parkinsons,MAR,1688060240,OT_PMM,MAE,0.38731433021695605
172,parkinsons,MAR,1766867109,PMM,RMSE,0.7087569369139541
173,parkinsons,MAR,1766867109,PMM,MAE,0.4045791214487615
174,parkinsons,MAR,1766867109,OT_PMM,RMSE,0.6170035392444232
175,parkinsons,MAR,1766867109,OT_PMM,MAE,0.35517898595459024
176,parkinsons,MAR,1803345590,PMM,RMSE,0.7060460676827025
177,parkinsons,MAR,1803345590,PMM,MAE,0.4183291778511591
178,parkinsons,MAR,1803345590,OT_PMM,RMSE,0.6774268713774261
179,parkinsons,MAR,1803345590,OT_PMM,MAE,0.38497734897547986
180,parkinsons,MAR,1843824992,PMM,RMSE,0.6602820127611831
181,parkinsons,MAR,1843824992,PMM,MAE,0.3499027170392636
182,parkinsons,MAR,1843824992,OT_PMM,RMSE,0.5764448829089
183,parkinsons,MAR,1843824992,OT_PMM,MAE,0.30012610374815474
184,parkinsons,MAR,184566854,PMM,RMSE,0.6575180614655834
185,parkinsons,MAR,184566854,PMM,MAE,0.34423274854572083
186,parkinsons,MAR,184566854,OT_PMM,RMSE,0.5780147918068071
187,parkinsons,MAR,184566854,OT_PMM,MAE,0.299552794110376
188,parkinsons,MAR,191664963,PMM,RMSE,0.7896810842623088
189,parkinsons,MAR,191664963,PMM,MAE,0.4370983846333095
190,parkinsons,MAR,191664963,OT_PMM,RMSE,0.7647493670602369
191,parkinsons,MAR,191664963,OT_PMM,MAE,0.41289761931214264
192,parkinsons,MAR,1990212658,PMM,RMSE,0.6588724780779254
193,parkinsons,MAR,1990212658,PMM,MAE,0.3943476941435777
194,parkinsons,MAR,1990212658,OT_PMM,RMSE,0.6363295748935209
195,parkinsons,MAR,1990212658,OT_PMM,MAE,0.3772000144498362
196,parkinsons,MAR,202244314,PMM,RMSE,0.7598743490672275
197,parkinsons,MAR,202244314,PMM,MAE,0.4672399395065408
198,parkinsons,MAR,202244314,OT_PMM,RMSE,0.6905798723118448
199,parkinsons,MAR,202244314,OT_PMM,MAE,0.39197987060563827
200,parkinsons,MAR,2095133045,PMM,RMSE,0.6479217780448205
201,parkinsons,MAR,2095133045,PMM,MAE,0.3674841345880824
202,parkinsons,MAR,2095133045,OT_PMM,RMSE,0.5521124876656793
203,parkinsons,MAR,2095133045,OT_PMM,MAE,0.32115172539124215
204,parkinsons,MAR,275121930,PMM,RMSE,0.6731710161834963
205,parkinsons,MAR,275121930,PMM,MAE,0.38879273413029763
206,parkinsons,MAR,275121930,OT_PMM,RMSE,0.5981298947798421
207,parkinsons,MAR,275121930,OT_PMM,MAE,0.34934641027026997
208,parkinsons,MAR,392022359,PMM,RMSE,0.6900022384959943
209,parkinsons,MAR,392022359,PMM,MAE,0.3899891929951941
210,parkinsons,MAR,392022359,OT_PMM,RMSE,0.6191081285427447
211,parkinsons,MAR,392022359,OT_PMM,MAE,0.3451753010913123
212,parkinsons,MAR,432652533,PMM,RMSE,0.6940083257669869
213,parkinsons,MAR,432652533,PMM,MAE,0.39612084267448605
214,parkinsons,MAR,432652533,OT_PMM,RMSE,0.6887223639085542
215,parkinsons,MAR,432652533,OT_PMM,MAE,0.38598318792288083
216,parkinsons,MAR,796282693,PMM,RMSE,0.5916903651648472
217,parkinsons,MAR,796282693,PMM,MAE,0.32037245510949014
218,parkinsons,MAR,796282693,OT_PMM,RMSE,0.5746618986597436
219,parkinsons,MAR,796282693,OT_PMM,MAE,0.30497828362365675
220,parkinsons,MAR,864178266,PMM,RMSE,0.6803310193657712
221,parkinsons,MAR,864178266,PMM,MAE,0.4198645082421364
222,parkinsons,MAR,864178266,OT_PMM,RMSE,0.6478975080323067
223,parkinsons,MAR,864178266,OT_PMM,MAE,0.3884759617582858
224,parkinsons,MAR,929893137,PMM,RMSE,0.7485599068336699
225,parkinsons,MAR,929893137,PMM,MAE,0.40211010371168265
226,parkinsons,MAR,929893137,OT_PMM,RMSE,0.6237372098502124
227,parkinsons,MAR,929893137,OT_PMM,MAE,0.3382678798410438
228,parkinsons,MAR,942484272,PMM,RMSE,0.7542339246200773
229,parkinsons,MAR,942484272,PMM,MAE,0.4400888649193452
230,parkinsons,MAR,942484272,OT_PMM,RMSE,0.8260983783432597
231,parkinsons,MAR,942484272,OT_PMM,MAE,0.45967698366547444
232,parkinsons,MAR,952224740,PMM,RMSE,0.7488328908258668
233,parkinsons,MAR,952224740,PMM,MAE,0.42598666037640154
234,parkinsons,MAR,952224740,OT_PMM,RMSE,0.6637059392666695
235,parkinsons,MAR,952224740,OT_PMM,MAE,0.36574312780628504
236,parkinsons,MAR,967196436,PMM,RMSE,0.5515359582631912
237,parkinsons,MAR,967196436,PMM,MAE,0.3245823653934529
238,parkinsons,MAR,967196436,OT_PMM,RMSE,0.495559702890502
239,parkinsons,MAR,967196436,OT_PMM,MAE,0.2887905481136255
240,parkinsons,MNAR_log,1074497555,PMM,RMSE,0.7939143926589213
241,parkinsons,MNAR_log,1074497555,PMM,MAE,0.47572349797203445
242,parkinsons,MNAR_log,1074497555,OT_PMM,RMSE,0.6957580648028815
243,parkinsons,MNAR_log,1074497555,OT_PMM,MAE,0.4071128748362987
244,parkinsons,MNAR_log,1102145672,PMM,RMSE,0.8537797783492658
245,parkinsons,MNAR_log,1102145672,PMM,MAE,0.5101459292781367
246,parkinsons,MNAR_log,1102145672,OT_PMM,RMSE,0.7641304986233732
247,parkinsons,MNAR_log,1102145672,OT_PMM,MAE,0.45601207921873343
248,parkinsons,MNAR_log,1130604997,PMM,RMSE,0.9475253489747191
249,parkinsons,MNAR_log,1130604997,PMM,MAE,0.5336034288154684
250,parkinsons,MNAR_log,1130604997,OT_PMM,RMSE,0.842047954419926
251,parkinsons,MNAR_log,1130604997,OT_PMM,MAE,0.47374390832679525
252,parkinsons,MNAR_log,1171300112,PMM,RMSE,0.805052123720045
253,parkinsons,MNAR_log,1171300112,PMM,MAE,0.4963500572008045
254,parkinsons,MNAR_log,1171300112,OT_PMM,RMSE,0.7271492235164908
255,parkinsons,MNAR_log,1171300112,OT_PMM,MAE,0.44371547514994497
256,parkinsons,MNAR_log,1382689815,PMM,RMSE,0.8764373920018148
257,parkinsons,MNAR_log,1382689815,PMM,MAE,0.5320893332035597
258,parkinsons,MNAR_log,1382689815,OT_PMM,RMSE,0.8247507823791593
259,parkinsons,MNAR_log,1382689815,OT_PMM,MAE,0.48564015531097665
260,parkinsons,MNAR_log,1405681631,PMM,RMSE,0.6654678232162693
261,parkinsons,MNAR_log,1405681631,PMM,MAE,0.398422356251092
262,parkinsons,MNAR_log,1405681631,OT_PMM,RMSE,0.6743172266237911
263,parkinsons,MNAR_log,1405681631,OT_PMM,MAE,0.39213606191431033
264,parkinsons,MNAR_log,1497586438,PMM,RMSE,0.6789098377370447
265,parkinsons,MNAR_log,1497586438,PMM,MAE,0.41259428827672295
266,parkinsons,MNAR_log,1497586438,OT_PMM,RMSE,0.6394154738727916
267,parkinsons,MNAR_log,1497586438,OT_PMM,MAE,0.3818084266911974
268,parkinsons,MNAR_log,1540770719,PMM,RMSE,0.7384096796822337
269,parkinsons,MNAR_log,1540770719,PMM,MAE,0.46731342500761003
270,parkinsons,MNAR_log,1540770719,OT_PMM,RMSE,0.7799161014168047
271,parkinsons,MNAR_log,1540770719,OT_PMM,MAE,0.4704507841228764
272,parkinsons,MNAR_log,1580016183,PMM,RMSE,0.8763794129833314
273,parkinsons,MNAR_log,1580016183,PMM,MAE,0.5177135341128324
274,parkinsons,MNAR_log,1580016183,OT_PMM,RMSE,0.7780378747416797
275,parkinsons,MNAR_log,1580016183,OT_PMM,MAE,0.4686174048564814
276,parkinsons,MNAR_log,1634535062,PMM,RMSE,0.7597687436863126
277,parkinsons,MNAR_log,1634535062,PMM,MAE,0.4446884191854502
278,parkinsons,MNAR_log,1634535062,OT_PMM,RMSE,0.717421060413394
279,parkinsons,MNAR_log,1634535062,OT_PMM,MAE,0.40886130818884103
280,parkinsons,MNAR_log,1662057957,PMM,RMSE,0.6553718451301521
281,parkinsons,MNAR_log,1662057957,PMM,MAE,0.39043150876404054
282,parkinsons,MNAR_log,1662057957,OT_PMM,RMSE,0.6439975005516012
283,parkinsons,MNAR_log,1662057957,OT_PMM,MAE,0.3723579479200259
284,parkinsons,MNAR_log,1678403330,PMM,RMSE,0.6850334481840641
285,parkinsons,MNAR_log,1678403330,PMM,MAE,0.4001555437816226
286,parkinsons,MNAR_log,1678403330,OT_PMM,RMSE,0.6735031939545475
287,parkinsons,MNAR_log,1678403330,OT_PMM,MAE,0.39528765940613847
288,parkinsons,MNAR_log,1688060240,PMM,RMSE,0.6192024937909636
289,parkinsons,MNAR_log,1688060240,PMM,MAE,0.3737162173807911
290,parkinsons,MNAR_log,1688060240,OT_PMM,RMSE,0.6019181987797153
291,parkinsons,MNAR_log,1688060240,OT_PMM,MAE,0.3552931610270571
292,parkinsons,MNAR_log,1766867109,PMM,RMSE,0.7167221338002145
293,parkinsons,MNAR_log,1766867109,PMM,MAE,0.43485761787407406
294,parkinsons,MNAR_log,1766867109,OT_PMM,RMSE,0.6943305332743805
295,parkinsons,MNAR_log,1766867109,OT_PMM,MAE,0.4206383416079927
296,parkinsons,MNAR_log,1803345590,PMM,RMSE,0.6599817105088435
297,parkinsons,MNAR_log,1803345590,PMM,MAE,0.3923320215317431
298,parkinsons,MNAR_log,1803345590,OT_PMM,RMSE,0.6262466894049626
299,parkinsons,MNAR_log,1803345590,OT_PMM,MAE,0.36481536300019035
300,parkinsons,MNAR_log,1843824992,PMM,RMSE,0.6481080884569871
301,parkinsons,MNAR_log,1843824992,PMM,MAE,0.38872678962926127
302,parkinsons,MNAR_log,1843824992,OT_PMM,RMSE,0.6048766791430956
303,parkinsons,MNAR_log,1843824992,OT_PMM,MAE,0.3543883775803468
304,parkinsons,MNAR_log,184566854,PMM,RMSE,0.8252879642711988
305,parkinsons,MNAR_log,184566854,PMM,MAE,0.5085982704140314
306,parkinsons,MNAR_log,184566854,OT_PMM,RMSE,0.8455679902456265
307,parkinsons,MNAR_log,184566854,OT_PMM,MAE,0.49140090952641513
308,parkinsons,MNAR_log,191664963,PMM,RMSE,0.6793493773437864
309,parkinsons,MNAR_log,191664963,PMM,MAE,0.40852401792080745
310,parkinsons,MNAR_log,191664963,OT_PMM,RMSE,0.6204413275333734
311,parkinsons,MNAR_log,191664963,OT_PMM,MAE,0.3719904321548282
312,parkinsons,MNAR_log,1990212658,PMM,RMSE,0.8145632103907259
313,parkinsons,MNAR_log,1990212658,PMM,MAE,0.490683968681109
314,parkinsons,MNAR_log,1990212658,OT_PMM,RMSE,0.7913498863271847
315,parkinsons,MNAR_log,1990212658,OT_PMM,MAE,0.4699574281273052
316,parkinsons,MNAR_log,202244314,PMM,RMSE,0.7242588385502997
317,parkinsons,MNAR_log,202244314,PMM,MAE,0.424868410112761
318,parkinsons,MNAR_log,202244314,OT_PMM,RMSE,0.741077599849579
319,parkinsons,MNAR_log,202244314,OT_PMM,MAE,0.4211797379030964
320,parkinsons,MNAR_log,2095133045,PMM,RMSE,0.704751665723647
321,parkinsons,MNAR_log,2095133045,PMM,MAE,0.4168616741299677
322,parkinsons,MNAR_log,2095133045,OT_PMM,RMSE,0.6383086280412263
323,parkinsons,MNAR_log,2095133045,OT_PMM,MAE,0.3672900027292753
324,parkinsons,MNAR_log,275121930,PMM,RMSE,0.6568847847819883
325,parkinsons,MNAR_log,275121930,PMM,MAE,0.38158329835370036
326,parkinsons,MNAR_log,275121930,OT_PMM,RMSE,0.5884413281839374
327,parkinsons,MNAR_log,275121930,OT_PMM,MAE,0.3332558628565928
328,parkinsons,MNAR_log,392022359,PMM,RMSE,0.7316355151028376
329,parkinsons,MNAR_log,392022359,PMM,MAE,0.44903714886703083
330,parkinsons,MNAR_log,392022359,OT_PMM,RMSE,0.6593766416867641
331,parkinsons,MNAR_log,392022359,OT_PMM,MAE,0.3955937357147747
332,parkinsons,MNAR_log,432652533,PMM,RMSE,0.6503033506842466
333,parkinsons,MNAR_log,432652533,PMM,MAE,0.3848596288460822
334,parkinsons,MNAR_log,432652533,OT_PMM,RMSE,0.6280648166459053
335,parkinsons,MNAR_log,432652533,OT_PMM,MAE,0.369039069618143
336,parkinsons,MNAR_log,796282693,PMM,RMSE,0.6521615358716187
337,parkinsons,MNAR_log,796282693,PMM,MAE,0.3738647283413395
338,parkinsons,MNAR_log,796282693,OT_PMM,RMSE,0.6191019511144581
339,parkinsons,MNAR_log,796282693,OT_PMM,MAE,0.3598543613142793
340,parkinsons,MNAR_log,864178266,PMM,RMSE,0.8688958837465309
341,parkinsons,MNAR_log,864178266,PMM,MAE,0.5060417693272075
342,parkinsons,MNAR_log,864178266,OT_PMM,RMSE,0.7554419788806225
343,parkinsons,MNAR_log,864178266,OT_PMM,MAE,0.45893640344336395
344,parkinsons,MNAR_log,929893137,PMM,RMSE,0.8046105875371139
345,parkinsons,MNAR_log,929893137,PMM,MAE,0.4705723630534768
346,parkinsons,MNAR_log,929893137,OT_PMM,RMSE,0.7692786298416728
347,parkinsons,MNAR_log,929893137,OT_PMM,MAE,0.4490464093785824
348,parkinsons,MNAR_log,942484272,PMM,RMSE,0.7280335504650136
349,parkinsons,MNAR_log,942484272,PMM,MAE,0.43043639783883053
350,parkinsons,MNAR_log,942484272,OT_PMM,RMSE,0.6736964360087271
351,parkinsons,MNAR_log,942484272,OT_PMM,MAE,0.38424878133957696
352,parkinsons,MNAR_log,952224740,PMM,RMSE,0.9211901038013506
353,parkinsons,MNAR_log,952224740,PMM,MAE,0.525103355547066
354,parkinsons,MNAR_log,952224740,OT_PMM,RMSE,0.9338148421854049
355,parkinsons,MNAR_log,952224740,OT_PMM,MAE,0.5132642563459591
356,parkinsons,MNAR_log,967196436,PMM,RMSE,0.7584162700639514
357,parkinsons,MNAR_log,967196436,PMM,MAE,0.4772665344686459
358,parkinsons,MNAR_log,967196436,OT_PMM,RMSE,0.713002214668712
359,parkinsons,MNAR_log,967196436,OT_PMM,MAE,0.43385836484146545
360,parkinsons,MNAR_quant,1074497555,PMM,RMSE,0.6772330041410171
361,parkinsons,MNAR_quant,1074497555,PMM,MAE,0.45052414835523047
362,parkinsons,MNAR_quant,1074497555,OT_PMM,RMSE,0.5945216671676731
363,parkinsons,MNAR_quant,1074497555,OT_PMM,MAE,0.3829303732459499
364,parkinsons,MNAR_quant,1102145672,PMM,RMSE,0.8315661499610527
365,parkinsons,MNAR_quant,1102145672,PMM,MAE,0.5039090048988173
366,parkinsons,MNAR_quant,1102145672,OT_PMM,RMSE,0.6627491853425893
367,parkinsons,MNAR_quant,1102145672,OT_PMM,MAE,0.4090473590975985
368,parkinsons,MNAR_quant,1130604997,PMM,RMSE,0.6456009795953672
369,parkinsons,MNAR_quant,1130604997,PMM,MAE,0.4373177862451847
370,parkinsons,MNAR_quant,1130604997,OT_PMM,RMSE,0.598306461423385
371,parkinsons,MNAR_quant,1130604997,OT_PMM,MAE,0.3862075532103721
372,parkinsons,MNAR_quant,1171300112,PMM,RMSE,0.96490818689464
373,parkinsons,MNAR_quant,1171300112,PMM,MAE,0.5930932738736744
374,parkinsons,MNAR_quant,1171300112,OT_PMM,RMSE,0.8696541668876648
375,parkinsons,MNAR_quant,1171300112,OT_PMM,MAE,0.5310950095494259
376,parkinsons,MNAR_quant,1382689815,PMM,RMSE,0.9312575332001746
